type,uri
T-shirts,http://vocab.getty.edu/aat/300209903
documentenklem,
compact discs,http://vocab.getty.edu/aat/300028673
gasfles[fragment],
oil paintings (visual works),http://vocab.getty.edu/aat/300033799
works on paper,http://vocab.getty.edu/aat/300189621
aquatints (prints),http://vocab.getty.edu/aat/300041366
picture postcards,http://vocab.getty.edu/aat/300026819
models (representations),http://vocab.getty.edu/aat/300047753
tools,http://vocab.getty.edu/aat/300024841
glassculptuur,
altars (religious fixtures),http://vocab.getty.edu/aat/300003725
showcases,http://vocab.getty.edu/aat/300144148
gebruiksaanwijzing,
emblems (symbols),http://vocab.getty.edu/aat/300123036
animated film,http://vocab.getty.edu/aat/300410317
neon sculpture,http://vocab.getty.edu/aat/300047225
video recordings (physical artifacts),http://vocab.getty.edu/aat/300028682
collection boxes,http://vocab.getty.edu/aat/300263336
Gevelbord,
